TLD,AbuseDomains,TotalDomainCount,abusePercent
link,270,66695,0.004048279481220481
cl,1742,436110,0.003994405081286831
pharmacy,2,506,0.003952569169960474
live,1247,319624,0.003901459214577128
army,8,2053,0.003896736483195324
cn,45694,11929317,0.0038303953193632124
claims,10,2649,0.003775009437523594
xn--kput3i,124,33029,0.0037542765448545217
work,1875,503970,0.0037204595511637598
top,11582,3129356,0.0037010809891875516
fan,9,2481,0.0036275695284159614
kim,54,14938,0.0036149417592716564
ad,7,1947,0.0035952747817154596
republican,3,843,0.0035587188612099642
club,3818,1087469,0.0035109046786621044
mw,7,2014,0.003475670307845084
fyi,44,12703,0.00346374872077462
rio,3,868,0.0034562211981566822
bf,5,1449,0.003450655624568668
airforce,2,581,0.0034423407917383822
africa,67,19542,0.0034285129464742604
gd,9,2649,0.0033975084937712344
cars,1,295,0.003389830508474576
creditunion,2,599,0.00333889816360601
website,932,282139,0.0033033362987747172
cu,6,1820,0.0032967032967032967
ht,9,2733,0.003293084522502744
actor,7,2126,0.003292568203198495
mr,2,613,0.0032626427406199023
al,67,20643,0.003245652279222981
band,45,13885,0.0032409074540871445
plus,40,12476,0.0032061558191728116
xxx,299,93327,0.00320378882852765
bot,5,1565,0.003194888178913738
museum,2,627,0.003189792663476874
pro,947,297144,0.0031870069730501036
neustar,2,633,0.00315955766192733
store,727,230485,0.0031542182788467797
cooking,5,1588,0.0031486146095717885
hiv,1,318,0.0031446540880503146
green,14,4482,0.0031236055332440876
bt,7,2242,0.0031222123104371097
gift,17,5445,0.0031221303948576677
domains,20,6456,0.0030978934324659233
gh,8,2587,0.0030923850019327404
maison,3,972,0.0030864197530864196
tirol,20,6492,0.0030807147258163892
mini,2,654,0.0030581039755351682
xn--l1acc,1,327,0.0030581039755351682
credit,15,4917,0.003050640634533252
car,1,328,0.003048780487804878
world,423,138995,0.003043274937947408
online,3428,1131412,0.0030298423562769355
mp,2,664,0.0030120481927710845
pt,853,283383,0.0030100605893790384
ltda,2,667,0.0029985007496251873
irish,12,4009,0.002993265153404839
id,799,267254,0.0029896652622598725
pk,228,77375,0.0029466882067851374
archi,7,2381,0.0029399412011759767
blue,37,12626,0.0029304609535878347
network,145,49785,0.002912523852566034
moe,23,7935,0.002898550724637681
center,116,40242,0.002882560508921028
tennis,5,1744,0.0028669724770642203
broker,2,699,0.002861230329041488
np,187,65403,0.0028591960613427517
gn,1,350,0.002857142857142857
lr,1,350,0.002857142857142857
juegos,2,701,0.0028530670470756064
mg,11,3865,0.0028460543337645535
mx,2343,826079,0.0028362904758503726
futbol,7,2474,0.0028294260307194824
market,76,26876,0.0028278017562137223
na,12,4278,0.002805049088359046
memorial,2,714,0.0028011204481792717
tube,8,2862,0.002795248078266946
tech,602,220630,0.002728550061188415
tz,41,15032,0.0027275146354443854
af,15,5549,0.0027031897639214274
bw,18,6659,0.0027031085748610902
realty,6,2234,0.0026857654431512983
physio,3,1122,0.00267379679144385
foundation,35,13132,0.0026652452025586353
navy,2,752,0.0026595744680851063
investments,12,4516,0.002657218777679362
kn,2,756,0.0026455026455026454
xn--4gbrim,1,378,0.0026455026455026454
durban,6,2290,0.0026200873362445414
gop,3,1147,0.0026155187445510027
ge,90,34698,0.002593809441466367
allfinanz,2,773,0.00258732212160414
courses,5,1937,0.002581311306143521
ci,22,8580,0.002564102564102564
markets,2,787,0.0025412960609911056
horse,6,2378,0.002523128679562658
ng,245,97154,0.002521769561726743
rest,5,1987,0.0025163563160543532
voting,2,797,0.002509410288582183
delivery,14,5591,0.002504024324807727
gripe,3,1210,0.0024793388429752068
gratis,11,4439,0.0024780355936021626
cv,5,2018,0.002477700693756194
fund,35,14141,0.0024750724842656107
crs,1,408,0.0024509803921568627
gives,4,1636,0.0024449877750611247
ps,18,7395,0.002434077079107505
yoga,23,9453,0.0024330900243309003
xn--3bst00m,4,1644,0.0024330900243309003
tax,16,6633,0.0024121815166591285
agency,152,63431,0.002396304645993284
gf,2,836,0.0023923444976076554
iq,4,1672,0.0023923444976076554
md,53,22343,0.0023721075952199792
luxury,2,847,0.0023612750885478157
review,205,86939,0.002357975131989096
org,24095,10224097,0.002356687343635335
codes,20,8495,0.002354326074161271
chat,29,12367,0.0023449502708821866
ck,3,1293,0.002320185614849188
sl,4,1731,0.002310803004043905
accountants,4,1733,0.002308136180034622
